gene_symbol	gene_code	associations	mean_prediction
AGAP8	HGNC:23464	0	 0.082
AGAP9	HGNC:23463	0	 0.082
AGBL1	HGNC:26504	0	 0.084
AGBL2	HGNC:26296	0	 0.091
AGBL3	HGNC:27981	0	 0.088
AGBL4	HGNC:25892	0	 0.086
AGBL5	HGNC:26147	0	 0.097
AGER	HGNC:320	0	 0.128
AGFG1	HGNC:5175	0	 0.115
AGFG2	HGNC:5177	0	 0.100
AGGF1	HGNC:24684	0	 0.102
AGK	HGNC:21869	0	 0.100
AGL	HGNC:321	0	 0.109
AGMAT	HGNC:18407	0	 0.095
AGMO	HGNC:33784	0	 0.085
AGO1	HGNC:3262	0	 0.119
AGO2	HGNC:3263	0	 0.127
AGO3	HGNC:18421	0	 0.098
AGO4	HGNC:18424	0	 0.103
AGPAT1	HGNC:324	0	 0.120
AGPAT2	HGNC:325	0	 0.122
AGPAT3	HGNC:326	0	 0.111
AGPAT4	HGNC:20885	0	 0.118
AGPAT5	HGNC:20886	0	 0.111
AGPAT6	HGNC:20880	0	 0.113
AGPAT9	HGNC:28157	0	 0.109
AGPS	HGNC:327	0	 0.107
AGR2	HGNC:328	0	 0.111
AGR3	HGNC:24167	0	 0.096
AGRN	HGNC:329	0	 0.134
AGRP	HGNC:330	0	 0.110
AGT	HGNC:333	0	 0.137
AGTPBP1	HGNC:17258	0	 0.102
AGTR1	HGNC:336	0	 0.127
AGTR2	HGNC:338	0	 0.126
AGTRAP	HGNC:13539	0	 0.096
AGXT	HGNC:341	0	 0.111
AGXT2	HGNC:14412	0	 0.099
AHCTF1	HGNC:24618	0	 0.103
AHCY	HGNC:343	0	 0.111
AHCYL1	HGNC:344	0	 0.109
AHCYL2	HGNC:22204	0	 0.108
AHDC1	HGNC:25230	0	 0.098
AHI1	HGNC:21575	1	 0.301
AHNAK	HGNC:347	0	 0.127
AHNAK2	HGNC:20125	0	 0.101
AHR	HGNC:348	0	 0.162
AHRR	HGNC:346	0	 0.094
AHSA1	HGNC:1189	0	 0.105
AHSA2	HGNC:20437	0	 0.095
AHSG	HGNC:349	0	 0.111
AHSP	HGNC:18075	0	 0.091
AICDA	HGNC:13203	0	 0.107
AIDA	HGNC:25761	0	 0.098
AIF1	HGNC:352	0	 0.136
AIF1L	HGNC:28904	0	 0.099
AIFM1	HGNC:8768	0	 0.121
AIFM2	HGNC:21411	0	 0.101
AIFM3	HGNC:26398	0	 0.101
AIG1	HGNC:21607	0	 0.100
AIM1	HGNC:356	0	 0.122
AIM1L	HGNC:17295	0	 0.097
AIM2	HGNC:357	0	 0.136
AIMP1	HGNC:10648	0	 0.115
AIMP2	HGNC:20609	0	 0.112
AIP	HGNC:358	0	 0.112
AIPL1	HGNC:359	0	 0.097
AIRE	HGNC:360	1	 0.344
AJAP1	HGNC:30801	1	 0.167
AJUBA	HGNC:20250	0	 0.107
AK1	HGNC:361	0	 0.110
AK2	HGNC:362	0	 0.116
AK3	HGNC:17376	0	 0.108
AK4	HGNC:363	0	 0.113
AK5	HGNC:365	0	 0.116
AK6	HGNC:49151	0	 0.082
AK7	HGNC:20091	0	 0.093
AK8	HGNC:26526	0	 0.090
AK9	HGNC:33814	0	 0.090
AKAP1	HGNC:367	0	 0.113
