doid_id	doid_name	bto_id	bto_name	r_scaled
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001175	retina	28.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001203	salivary gland	25.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001235	seminiferous tubule	0.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001103	skeletal muscle	27.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001253	skin	21.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000651	small intestine	17.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001260	smooth muscle	17.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000958	spermatogonium	0.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001279	spinal cord	32.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001264	spinal ganglion	32.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001325	superior cervical ganglion	0.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001355	temporal lobe	34.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001363	testis	18.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001365	thalamus	40.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001374	thymus	25.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001379	thyroid gland	21.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001385	tongue	26.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001387	tonsil	41.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001388	trachea	0.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001231	trigeminal ganglion	34.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0001424	uterus	0.0
DOID:11949	Creutzfeldt-Jakob syndrome	BTO:0000084	vermiform appendix	0.0
DOID:8778	Crohn's disease	BTO:0000776	B-lymphocyte	28.0
DOID:8778	Crohn's disease	BTO:0000755	Leydig cell	25.0
DOID:8778	Crohn's disease	BTO:0000443	adipocyte	26.0
DOID:8778	Crohn's disease	BTO:0000045	adrenal cortex	0.0
DOID:8778	Crohn's disease	BTO:0000047	adrenal gland	22.0
DOID:8778	Crohn's disease	BTO:0001042	amygdala	0.0
DOID:8778	Crohn's disease	BTO:0000089	blood	30.0
DOID:8778	Crohn's disease	BTO:0000141	bone marrow	26.0
DOID:8778	Crohn's disease	BTO:0000142	brain	17.0
DOID:8778	Crohn's disease	BTO:0002320	cardiac muscle fiber	16.0
DOID:8778	Crohn's disease	BTO:0001539	cardiac myocyte	0.0
DOID:8778	Crohn's disease	BTO:0000211	caudate nucleus	0.0
DOID:8778	Crohn's disease	BTO:0000232	cerebellum	13.0
DOID:8778	Crohn's disease	BTO:0000269	colon	40.0
DOID:8778	Crohn's disease	BTO:0000289	cytotoxic T-lymphocyte	27.0
DOID:8778	Crohn's disease	BTO:0002042	dendritic cell	32.0
DOID:8778	Crohn's disease	BTO:0001176	endothelial cell	27.0
DOID:8778	Crohn's disease	BTO:0004911	erythroid progenitor cell	25.0
DOID:8778	Crohn's disease	BTO:0000562	heart	19.0
DOID:8778	Crohn's disease	BTO:0002417	helper T-lymphocyte	31.0
DOID:8778	Crohn's disease	BTO:0000725	hematopoietic stem cell	29.0
DOID:8778	Crohn's disease	BTO:0001073	hypophysis	0.0
DOID:8778	Crohn's disease	BTO:0000614	hypothalamus	14.0
DOID:8778	Crohn's disease	BTO:0000671	kidney	23.0
DOID:8778	Crohn's disease	BTO:0000759	liver	26.0
DOID:8778	Crohn's disease	BTO:0000763	lung	23.0
